PAISES ,GRUPO_PIB
Emiratos Árabes Unidos,Alto
Argentina,Alto
Australia,Alto
Bélgica,Alto
Bangladesh,Alto
Brasil,Alto
Canadá,Alto
China,Alto
Colombia,Alto
Alemania,Alto
"Egipto, República Árabe de",Alto
España,Alto
Francia,Alto
Reino Unido,Alto
Indonesia,Alto
Sólo AIF,Alto
India,Alto
Irlanda,Alto
"Irán, República Islámica del",Alto
Israel,Alto
Italia,Alto
Japón,Alto
"Corea, República de",Alto
México,Alto
Malasia,Alto
América del Norte,Alto
Nigeria,Alto
Países Bajos,Alto
Noruega,Alto
Filipinas,Alto
Polonia,Alto
Rumania,Alto
Federación de Rusia,Alto
Arabia Saudita,Alto
Singapur,Alto
Suecia,Alto
Tailandia,Alto
Turquía,Alto
Estados Unidos,Alto
Viet Nam,Alto
Mundo,Alto
Aruba,Bajo
Andorra,Bajo
Antigua y Barbuda,Bajo
Burundi,Bajo
Bahrein,Bajo
Bahamas,Bajo
Belice,Bajo
Bermudas,Bajo
Barbados,Bajo
Brunei Darussalam,Bajo
Bhután,Bajo
Botswana,Bajo
República Centroafricana,Bajo
Islas del Canal,Bajo
"Congo, República del",Bajo
Comoras,Bajo
Cabo Verde,Bajo
Curacao,Bajo
Islas Caimán,Bajo
Djibouti,Bajo
Dominica,Bajo
Ecuador,Bajo
Fiji,Bajo
Gambia,Bajo
Guinea-Bissau,Bajo
Guinea Ecuatorial,Bajo
Granada,Bajo
Groenlandia,Bajo
Kenya,Bajo
Kirguistán,Bajo
Camboya,Bajo
Kiribati,Bajo
Saint Kitts y Nevis,Bajo
República Democrática Popular Lao,Bajo
Liberia,Bajo
Libia,Bajo
Santa Lucía,Bajo
Liechtenstein,Bajo
Lesotho,Bajo
Mónaco,Bajo
Madagascar,Bajo
Maldivas,Bajo
Islas Marshall,Bajo
Macedonia del Norte,Bajo
Myanmar,Bajo
Montenegro,Bajo
Mauritania,Bajo
Mauricio,Bajo
Malawi,Bajo
Namibia,Bajo
Níger,Bajo
Nepal,Bajo
Nauru,Bajo
Panamá,Bajo
Palau,Bajo
Puerto Rico (US),Bajo
Ribera Occidental y Gaza,Bajo
Estados pequeos de las Islas del Pacfico,Bajo
Polinesia Francesa,Bajo
Rwanda,Bajo
Sudán,Bajo
Islas Salomón,Bajo
Sierra Leona,Bajo
El Salvador,Bajo
Somalia,Bajo
Santo Tomé y Príncipe,Bajo
Suriname,Bajo
Eswatini,Bajo
Sint Maarten (Dutch part),Bajo
Seychelles,Bajo
Islas Turcas y Caicos,Bajo
Togo,Bajo
Tayikistán,Bajo
Timor-Leste,Bajo
Tonga,Bajo
Tuvalu,Bajo
San Vicente y las Granadinas,Bajo
Vanuatu,Bajo
Samoa,Bajo
Kosovo,Bajo
Zimbabwe,Bajo
,
Afganistán,Medio
Angola,Medio
Albania,Medio
Armenia,Medio
Austria,Medio
Azerbaiyán,Medio
Benin,Medio
Burkina Faso,Medio
Bulgaria,Medio
Bosnia y Herzegovina,Medio
Belarús,Medio
Bolivia,Medio
Suiza,Medio
Chile,Medio
Côte d'Ivoire,Medio
Camerún,Medio
"Congo, República Democrática del",Medio
Costa Rica,Medio
Estados pequeos del Caribe,Medio
Chipre,Medio
República Checa,Medio
Dinamarca,Medio
República Dominicana,Medio
Argelia,Medio
Estonia,Medio
Finlandia,Medio
Gabón,Medio
Georgia,Medio
Ghana,Medio
Guinea,Medio
Grecia,Medio
Guatemala,Medio
Guyana,Medio
Honduras,Medio
Croacia,Medio
Haití,Medio
Hungría,Medio
Iraq,Medio
Islandia,Medio
Jamaica,Medio
Jordania,Medio
Kazajstán,Medio
Kuwait,Medio
Líbano,Medio
Sri Lanka,Medio
Lituania,Medio
Luxemburgo,Medio
Letonia,Medio
"Región Administrativa Especial de Macao, China",Medio
Marruecos,Medio
República de Moldova,Medio
Malí,Medio
Malta,Medio
Mongolia,Medio
Mozambique,Medio
Nicaragua,Medio
Nueva Zelandia,Medio
Omán,Medio
Otros Estados pequeos,Medio
Pakistán,Medio
Perú,Medio
Papua Nueva Guinea,Medio
Portugal,Medio
Paraguay,Medio
Qatar,Medio
Senegal,Medio
Serbia,Medio
Pequeños Estados,Medio
República Eslovaca,Medio
Eslovenia,Medio
República Árabe Siria,Medio
Chad,Medio
Turkmenistán,Medio
Trinidad y Tobago,Medio
Túnez,Medio
Tanzanía,Medio
Uganda,Medio
Ucrania,Medio
Uruguay,Medio
Uzbekistán,Medio
Sudáfrica,Medio
Zambia,Medio
